push-aside, bar from attention or consideration,https://media.signbsl.com/videos/asl/aslsignbank/mp4/EXCUSE-833.mp4
push-aside, bar from attention or consideration,https://www.youtube.com/watch?v=En29jPqRxRw
push-aside, bar from attention or consideration,https://player.vimeo.com/external/391978833.sd.mp4
push-aside, bar from attention or consideration,https://media.signbsl.com/videos/asl/aslsignbank/mp4/IGNORE-1748.mp4
push-aside, bar from attention or consideration,https://player.vimeo.com/external/392193013.sd.mp4
push-aside, bar from attention or consideration,https://player.vimeo.com/external/391984529.sd.mp4
purse, a bag used for carrying money and small personal items or accessories (especially by women),https://www.youtube.com/watch?v=VVSxpn0_Mj4
purse, a bag used for carrying money and small personal items or accessories (especially by women),https://player.vimeo.com/external/392701147.sd.mp4
purse, a bag used for carrying money and small personal items or accessories (especially by women),https://www.youtube.com/watch?v=Ty3A2dsdKWE
purse, a bag used for carrying money and small personal items or accessories (especially by women),https://www.youtube.com/watch?v=FCK-RPrz0Zc
purse, a bag used for carrying money and small personal items or accessories (especially by women),https://www.youtube.com/watch?v=Ak9rFSU8QjI
purse, a bag used for carrying money and small personal items or accessories (especially by women),https://www.youtube.com/watch?v=YWLSmMKZibk
purse, a bag used for carrying money and small personal items or accessories (especially by women),https://www.youtube.com/watch?v=Dc8eysVtgVU
purse, a bag used for carrying money and small personal items or accessories (especially by women),https://www.youtube.com/watch?v=HcRF80fU6Js
purse, a bag used for carrying money and small personal items or accessories (especially by women),https://www.youtube.com/watch?v=yp-W_CQH_2U
purse, a bag used for carrying money and small personal items or accessories (especially by women),https://media.signbsl.com/videos/asl/aslbricks/mp4/bag.mp4
purse, a bag used for carrying money and small personal items or accessories (especially by women),https://player.vimeo.com/external/391190209.sd.mp4
purse, a bag used for carrying money and small personal items or accessories (especially by women),https://media.signbsl.com/videos/asl/startasl/mp4/purse.mp4
purse, a bag used for carrying money and small personal items or accessories (especially by women),https://media.signbsl.com/videos/asl/aslsignbank/mp4/BAG-2086.mp4
purse, a bag used for carrying money and small personal items or accessories (especially by women),https://www.youtube.com/watch?v=qQ5sshIWI8c
push, move with force "He pushed the table into a corner",https://www.youtube.com/watch?v=kxyvDhejj7w
push, move with force "He pushed the table into a corner",https://media.signbsl.com/videos/asl/youtube/mp4/6psMaxJlnoM.mp4
push, move with force "He pushed the table into a corner",https://media.signbsl.com/videos/asl/youtube/mp4/W5PHoo-D-Ck.mp4
push, move with force "He pushed the table into a corner",https://www.youtube.com/watch?v=umpDsv5ZTJo
intercom, a communication system linking different rooms within a building or ship etc,https://www.youtube.com/watch?v=9UaXaqRdytQ
intense-practice,,https://media.signbsl.com/videos/asl/youtube/mp4/ziUeKjZB2YU.mp4
intense-practice,,https://media.signbsl.com/videos/asl/youtube/mp4/EzmxpCg4I9E.mp4
intensity, the amount of energy transmitted (as by acoustic or electromagnetic radiation),https://media.signbsl.com/videos/asl/aslsignbank/mp4/OOH-204.mp4
intensity, the amount of energy transmitted (as by acoustic or electromagnetic radiation),https://media.signbsl.com/videos/asl/AustinCommunityCollege/mp4/elec_intensity_.mp4
intensity, chromatic purity: freedom from dilution with white and hence vividness of hue,https://www.youtube.com/watch?v=3NYEzXNfkR0
interiorise, incorporate within oneself; make subjectiveor personal,https://www.youtube.com/watch?v=fVHNBvCQaKo
interiorise, incorporate within oneself; make subjectiveor personal,https://www.youtube.com/watch?v=aSUaFDVx3QQ
intensifier, a modifier that has little meaning except to intensify the meaning it modifies,https://media.signbsl.com/videos/asl/aslsignbank/mp4/VERY-1390.mp4
intensifier, a modifier that has little meaning except to intensify the meaning it modifies,https://www.youtube.com/watch?v=J5UA-4RTe7w
interior-designer, a person who specializes in designing architectural interiors and their furnishings,https://player.vimeo.com/external/391933606.sd.mp4
interior-designer, a person who specializes in designing architectural interiors and their furnishings,https://www.youtube.com/watch?v=Xsn5cRiR-a4
interior-designer, a person who specializes in designing architectural interiors and their furnishings,https://www.youtube.com/watch?v=PubiJnxGIM4
interest, a fixed charge for borrowing money; usually a percentage of the amount borrowed,https://www.youtube.com/watch?v=KMAJ69YN2k0
interest, a fixed charge for borrowing money; usually a percentage of the amount borrowed,https://media.signbsl.com/videos/asl/startasl/mp4/interest.mp4
interest, a reason for wanting something done,https://www.youtube.com/watch?v=u6IFUdIAWtI
interest, a fixed charge for borrowing money; usually a percentage of the amount borrowed,https://media.signbsl.com/videos/asl/elementalaslconcepts/mp4/interest_-_money.mp4
interest, a fixed charge for borrowing money; usually a percentage of the amount borrowed,https://www.youtube.com/watch?v=uKcGCaU47KQ
interest, a fixed charge for borrowing money; usually a percentage of the amount borrowed,https://media.signbsl.com/videos/asl/youtube/mp4/ogkt2mdJWrc.mp4
interest, a diversion that occupies one's time and thoughts (usually pleasantly),https://www.youtube.com/watch?v=FrGpAmMYwo4
interest, a reason for wanting something done,https://www.youtube.com/watch?v=0tMMoDFGQGI
interest, a sense of concern with and curiosity about someone or something,https://media.signbsl.com/videos/asl/aslsignbank/mp4/INTEREST-1725.mp4
intensive, a modifier that has little meaning except to intensify the meaning it modifies,https://www.youtube.com/watch?v=J5UA-4RTe7w
intensive, a modifier that has little meaning except to intensify the meaning it modifies,https://media.signbsl.com/videos/asl/aslsignbank/mp4/VERY-1390.mp4
intension, what you must know in order to determine the reference of an expression,https://www.youtube.com/watch?v=VStPytylFRA
interesting, arousing or holding the attention,https://media.signbsl.com/videos/asl/youtube/mp4/qViD43XlfhI.mp4
interesting, arousing or holding the attention,https://media.signbsl.com/videos/asl/youtube/mp4/DCXsBRguNR0.mp4
interesting, arousing or holding the attention,https://media.signbsl.com/videos/asl/youtube/mp4/UicEy8GbH3s.mp4
interesting, arousing or holding the attention,https://media.signbsl.com/videos/asl/youtube/mp4/6QkjEtDdZHk.mp4
interesting, arousing or holding the attention,https://media.signbsl.com/videos/asl/aslsignbank/mp4/LIKE-498.mp4
interesting, arousing or holding the attention,https://media.signbsl.com/videos/asl/youtube/mp4/2KnhfiMHh7E.mp4
interesting, arousing or holding the attention,https://media.signbsl.com/videos/asl/startasl/mp4/interesting.mp4
intercollegiate, used of competition between colleges or universities,https://www.youtube.com/watch?v=D8jR-ZgS8qw
integral, existing as an essential constituent or characteristic,https://media.signbsl.com/videos/asl/elementalaslconcepts/mp4/constitutional.mp4
integral, existing as an essential constituent or characteristic,https://media.signbsl.com/videos/asl/deaftec-math/mp4/36D-1.mp4
integral, constituting the undiminished entirety; lacking nothing essential especially not damaged,https://www.youtube.com/watch?v=juYjTsxzJMM
integral, existing as an essential constituent or characteristic,https://www.youtube.com/watch?v=zujG53KaZoI
interdisciplinary, drawing from or characterized by participation of two or more fields of study,https://www.youtube.com/watch?v=HF0fmgFEqkI
intercession, the act of intervening (as to mediate a dispute),https://www.youtube.com/watch?v=Uqny9z00f3s
intelligent, exercising or showing good judgment,https://www.youtube.com/watch?v=4XkthpARkIk
intelligent, having the capacity for thought and reason especially to a high degree,https://media.signbsl.com/videos/asl/ids/mp4/2013-11-2440-intelligent-1500k-ase.mp4
intellectualise,,https://www.youtube.com/watch?v=HknK2Q9frPY
integer, any of the natural numbers (positive or negative) or zero,https://media.signbsl.com/videos/asl/deaftec-math/mp4/35D-1.mp4
integer, any of the natural numbers (positive or negative) or zero,https://media.signbsl.com/videos/asl/tsdvideo/mp4/1152.mp4
integer, any of the natural numbers (positive or negative) or zero,https://media.signbsl.com/videos/asl/deaftec-math/mp4/94D-1.mp4
integer, any of the natural numbers (positive or negative) or zero,https://media.signbsl.com/videos/asl/elementalaslconcepts/mp4/whole_number.mp4
integer, any of the natural numbers (positive or negative) or zero,https://media.signbsl.com/videos/asl/tsdvideo/mp4/544.mp4
intercept, seize on its way,https://www.youtube.com/watch?v=OpxIsupWwGw
intercept, seize on its way,https://www.youtube.com/watch?v=bdyzPR-gFhY
intercept, seize on its way,https://www.youtube.com/watch?v=1_25ceriudA
intercept, seize on its way,https://media.signbsl.com/videos/asl/deaftec-math/mp4/37D-1.mp4
integrated-circuit, a microelectronic computer circuit incorporated into a chip or semiconductor; a whole system rather than a single component,https://www.youtube.com/watch?v=WF7wwvpuVDM
interdenominational, occurring between or among or common to different churches or denominations,https://www.youtube.com/watch?v=ogHm15iXdYs
intercrossed, produced by crossbreeding,https://www.youtube.com/watch?v=z7jTYI7vZhE
intercultural,,https://www.youtube.com/watch?v=iMaB78d3eKw
intelligence, new information about specific and timely events,https://media.signbsl.com/videos/asl/youtube/mp4/6oJPiLU3KLE.mp4
intelligence, new information about specific and timely events,https://player.vimeo.com/external/392382006.sd.mp4
intelligence, new information about specific and timely events,https://www.youtube.com/watch?v=VZcIgx8K5fY
intelligence, new information about specific and timely events,https://www.youtube.com/watch?v=3n61gMKRV30
interior-decorator, a person who specializes in designing architectural interiors and their furnishings,https://www.youtube.com/watch?v=Xsn5cRiR-a4
interior-decorator, a person who specializes in designing architectural interiors and their furnishings,https://www.youtube.com/watch?v=PubiJnxGIM4
interior-decorator, a person who specializes in designing architectural interiors and their furnishings,https://player.vimeo.com/external/391933606.sd.mp4
interact, act together or towards others or with others,https://www.youtube.com/watch?v=CPjwT49qmI4
interact, act together or towards others or with others,https://www.youtube.com/watch?v=ytMNsQIMRzk
intentional, done by design,https://www.youtube.com/watch?v=pLQja_vuml4
intentional, by conscious design or purpose,https://www.youtube.com/watch?v=jpTeh4c4lsU
intergalctic,,https://www.youtube.com/watch?v=VJXQavsVtsU
integrity, an unreduced or unbroken completeness or totality,https://www.youtube.com/watch?v=65M7VC4SuVg
integrity, an unreduced or unbroken completeness or totality,https://media.signbsl.com/videos/asl/valleybible/mp4/integrity.mp4
integrity, an unreduced or unbroken completeness or totality,https://media.signbsl.com/videos/asl/deaftec/mp4/996.mp4
interagency,,https://www.youtube.com/watch?v=kUwBNu9Ge-Y
intellectual-disablity,,https://player.vimeo.com/external/392684889.sd.mp4
intercostal, muscles between the ribs; they contract during inspiration,https://www.youtube.com/watch?v=hmUWMH2Q8oM
intelligible, capable of being apprehended or understood,https://player.vimeo.com/external/392547403.sd.mp4
intelligible, capable of being apprehended or understood,https://www.youtube.com/watch?v=lWxEIeUJ08Q
intelligible, capable of being apprehended or understood,https://www.youtube.com/watch?v=JMGU1KEw2Kk
interfering, intrusive in a meddling or offensive manner,https://www.youtube.com/watch?v=0TM8NO9x4hY
interiorize, incorporate within oneself; make subjectiveor personal,https://www.youtube.com/watch?v=aSUaFDVx3QQ
interiorize, incorporate within oneself; make subjectiveor personal,https://www.youtube.com/watch?v=fVHNBvCQaKo
interdepartmental, between or among departments,https://www.youtube.com/watch?v=M1I3YV8_clQ
interbreeding, reproduction by parents of different races (especially by white and non-white persons),https://www.youtube.com/watch?v=GCRL_tN3kjo
interbreeding, (genetics) the act of mixing different species or varieties of animals or plants and thus to produce hybrids,https://www.youtube.com/watch?v=bIKSAd0iqkc
intellect, knowledge and intellectual ability,https://www.youtube.com/watch?v=GFsdF0sSvp8
integrationist,,https://www.youtube.com/watch?v=tFsZDqqv68c
intensity-level, the amount of energy transmitted (as by acoustic or electromagnetic radiation),https://media.signbsl.com/videos/asl/AustinCommunityCollege/mp4/elec_intensity_.mp4
intensity-level, the amount of energy transmitted (as by acoustic or electromagnetic radiation),https://media.signbsl.com/videos/asl/aslsignbank/mp4/OOH-204.mp4
interchange, a junction of highways on different levels that permits traffic to move from one to another without crossing traffic streams,https://www.youtube.com/watch?v=VPQeubTtGfI
interchange, a junction of highways on different levels that permits traffic to move from one to another without crossing traffic streams,https://www.youtube.com/watch?v=eslMFTDLhWg
interchange, a junction of highways on different levels that permits traffic to move from one to another without crossing traffic streams,https://www.youtube.com/watch?v=ihaIMk2gbYA
intercommunicate, transmit thoughts or feelings,https://www.youtube.com/watch?v=sJk02Gs1Trc
intent, an anticipated outcome that is intended or that guides your planned actions,https://media.signbsl.com/videos/asl/elementalaslconcepts/mp4/purpose.mp4
intent, an anticipated outcome that is intended or that guides your planned actions,https://media.signbsl.com/videos/asl/signlanguagestudent/mp4/purpose.mp4
intent, an anticipated outcome that is intended or that guides your planned actions,https://www.youtube.com/watch?v=SWfqOaUQsaU
intent, wholly absorbed as in thought,https://media.signbsl.com/videos/asl/youtube/mp4/t7FnwvQjKf8.mp4
intent, an anticipated outcome that is intended or that guides your planned actions,https://media.signbsl.com/videos/asl/aslsignbank/mp4/GOAL-854.mp4
intent, an anticipated outcome that is intended or that guides your planned actions,https://www.youtube.com/watch?v=uobvjM6UslQ
intent, wholly absorbed as in thought,https://media.signbsl.com/videos/asl/aslsignbank/mp4/FASCINATED-1386.mp4
intent, wholly absorbed as in thought,https://player.vimeo.com/external/392011527.sd.mp4
intent, an anticipated outcome that is intended or that guides your planned actions,https://player.vimeo.com/external/391154033.sd.mp4
intent, an anticipated outcome that is intended or that guides your planned actions,https://www.youtube.com/watch?v=0IH96hm16NQ
interconnect, cause to be interconnected or interwoven,https://www.youtube.com/watch?v=F2M0lmWjYtE
interconnect, be interwoven or interconnected,https://www.youtube.com/watch?v=LcNeHJm9tCs
intense, in an extreme degree,https://player.vimeo.com/external/392865879.sd.mp4
intense, in an extreme degree,https://www.youtube.com/watch?v=cyXgjbnLyJc
intensify, become more intense,https://www.youtube.com/watch?v=VhnRtZYSgzQ
intensify, increase in extent or intensity,https://www.youtube.com/watch?v=XDRbaR0c0es
interference, (American football) the act of obstructing someone's path with your body,https://media.signbsl.com/videos/asl/youtube/mp4/Y3uT-Qc4lcw.mp4
intemperance, immoderate indulgence of bodily appetites,https://www.youtube.com/watch?v=kJKM-_TJq1k
intercostal-muscle, muscles between the ribs; they contract during inspiration,https://www.youtube.com/watch?v=hmUWMH2Q8oM
interior, located inward,https://player.vimeo.com/external/392209773.sd.mp4
interior, located inward,https://media.signbsl.com/videos/asl/youtube/mp4/vx-WZ5-IoeI.mp4
interior, of or coming from the middle of a region or country,https://www.youtube.com/watch?v=da0cKO0EBsk
interchurch, occurring between or among or common to different churches or denominations,https://www.youtube.com/watch?v=ogHm15iXdYs
intercontinental, extending or taking place between or among continents,https://www.youtube.com/watch?v=L8DdeMXvJk0
intercoastal,,https://www.youtube.com/watch?v=TBkO8_VZtI0
interbred, produced by crossbreeding,https://www.youtube.com/watch?v=z7jTYI7vZhE
interim, serving during an intermediate interval of time,https://www.youtube.com/watch?v=U466G56NYqc
intangibleness, the quality of being intangible,https://www.youtube.com/watch?v=XdOZtNMU_V4
intention, an anticipated outcome that is intended or that guides your planned actions,https://media.signbsl.com/videos/asl/signlanguagestudent/mp4/purpose.mp4
intention, an anticipated outcome that is intended or that guides your planned actions,https://www.youtube.com/watch?v=uobvjM6UslQ
intention, an anticipated outcome that is intended or that guides your planned actions,https://media.signbsl.com/videos/asl/aslsignbank/mp4/GOAL-854.mp4
intention, an anticipated outcome that is intended or that guides your planned actions,https://player.vimeo.com/external/391154033.sd.mp4
intention, an anticipated outcome that is intended or that guides your planned actions,https://www.youtube.com/watch?v=0IH96hm16NQ
intention, an anticipated outcome that is intended or that guides your planned actions,https://media.signbsl.com/videos/asl/elementalaslconcepts/mp4/purpose.mp4
intention, an anticipated outcome that is intended or that guides your planned actions,https://www.youtube.com/watch?v=SWfqOaUQsaU
interactive-multimedia, a multimedia system in which related items of information are connected and can be presented together,https://www.youtube.com/watch?v=KXLKmP_mwOc
interior-gateway-routing-protocol-igrp,,https://media.signbsl.com/videos/asl/deaftec/mp4/997.mp4
intercommunication-system, a communication system linking different rooms within a building or ship etc,https://www.youtube.com/watch?v=9UaXaqRdytQ
intercity,,https://www.youtube.com/watch?v=B4cO4PQ8x7E
interfere, get involved so as to alter or hinder an action or through force or threat of force,https://www.youtube.com/watch?v=JHNeULoOHbE
interfere, get involved so as to alter or hinder an action or through force or threat of force,https://www.youtube.com/watch?v=U1ljcIVSfSI
interfere, get involved so as to alter or hinder an action or through force or threat of force,https://www.youtube.com/watch?v=jSisZFysJ7A
intellection, the process of thinking (especially thinking carefully),https://media.signbsl.com/videos/asl/signlanguagestudent/mp4/thinking.mp4
intellectual, involving intelligence rather than emotions or instinct,https://www.youtube.com/watch?v=F8ZLokBLKeo
intellectual, involving intelligence rather than emotions or instinct,https://www.youtube.com/watch?v=UgtX7FYqzmk
intellectual, of or relating to the intellect,https://www.youtube.com/watch?v=JcarWsC_6y4
intend, mean or intend to express or convey,https://media.signbsl.com/videos/asl/tsdvideo/mp4/291.mp4
intend, mean or intend to express or convey,https://www.youtube.com/watch?v=jQ8ERw_i0b0
intend, mean or intend to express or convey,https://media.signbsl.com/videos/asl/elementalaslconcepts/mp4/mean.mp4
intend, mean or intend to express or convey,https://media.signbsl.com/videos/asl/deaftec-math/mp4/43D-1.mp4
intend, mean or intend to express or convey,https://media.signbsl.com/videos/asl/tsdvideo/mp4/915.mp4
intend, mean or intend to express or convey,https://media.signbsl.com/videos/asl/youtube/mp4/Eigdeaxm2Do.mp4
intend, mean or intend to express or convey,https://player.vimeo.com/external/392376062.sd.mp4
intend, mean or intend to express or convey,https://media.signbsl.com/videos/asl/startasl/mp4/mean.mp4
intend, mean or intend to express or convey,https://www.youtube.com/watch?v=hHkne1VrfH0
intend, mean or intend to express or convey,https://media.signbsl.com/videos/asl/youtube/mp4/Mjjgc-hEl_4.mp4
intend, mean or intend to express or convey,https://www.youtube.com/watch?v=9f48By05fag
intelligentsia, an educated and intellectual elite,https://www.youtube.com/watch?v=cYo13CN_a2s
intensification, action that makes something stronger or more extreme,https://www.youtube.com/watch?v=SVenmHNA_7c
interactive-multimedia-system, a multimedia system in which related items of information are connected and can be presented together,https://www.youtube.com/watch?v=KXLKmP_mwOc
inter, place in a grave or tomb,https://player.vimeo.com/external/392012360.sd.mp4
inter, place in a grave or tomb,https://www.youtube.com/watch?v=kq1MmV8iQ6s
inter, place in a grave or tomb,https://www.youtube.com/watch?v=4TN5MvEqlJE
integrate, make into a whole or make part of a whole,https://www.youtube.com/watch?v=cH9zmBGKp0k
integrate, make into a whole or make part of a whole,https://www.youtube.com/watch?v=ix2H1bIBE-g
integrate, make into a whole or make part of a whole,https://www.youtube.com/watch?v=aTpqRpi2TpI
integrate, open (a place) to members of all races and ethnic groups,https://www.youtube.com/watch?v=LVbt-0occGQ
interfaith, involving persons of different religious faiths,https://www.youtube.com/watch?v=Eve1fcCATJ4
intangible, lacking substance or reality; incapable of being touched or seen,https://www.youtube.com/watch?v=rSYFijdE47Q
intangible, incapable of being perceived by the senses especially the sense of touch,https://www.youtube.com/watch?v=OvgxnK_2WSI
interface, (chemistry) a surface forming a common boundary between two things (two objects or liquids or chemical phases),https://www.youtube.com/watch?v=h98epcP2TSU
fl, a state in southeastern United States between the Atlantic and the Gulf of Mexico; one of the Confederate states during the American Civil War,https://media.signbsl.com/videos/asl/youtube/mp4/sXM8QeBTErY.mp4
fl, a state in southeastern United States between the Atlantic and the Gulf of Mexico; one of the Confederate states during the American Civil War,https://player.vimeo.com/external/392128843.sd.mp4
fl, a state in southeastern United States between the Atlantic and the Gulf of Mexico; one of the Confederate states during the American Civil War,https://www.youtube.com/watch?v=REGeQsUxk9A
fit-to-be-tied,,https://www.youtube.com/watch?v=iaLUYG5Dae8
fit-to-be-tied,,https://www.youtube.com/watch?v=WyoeXAEdTx4
five-weeks,,https://media.signbsl.com/videos/asl/youtube/mp4/8upZJ_MQ7kQ.mp4
five-weeks-later,,https://media.signbsl.com/videos/asl/youtube/mp4/7FJYlcm82DY.mp4
fjord, a long narrow inlet of the sea between steep cliffs; common in Norway,https://www.youtube.com/watch?v=fl1TCh8Q1J8
fitting, making or becoming suitable; adjusting to circumstances,https://www.youtube.com/watch?v=HovG2Xui6Xs
fitting, making or becoming suitable; adjusting to circumstances,https://www.youtube.com/watch?v=ZiplnVk5tVQ
fix-up, find (something or someone) for,https://www.youtube.com/watch?v=94jLZKS1Zeo
five-days-ago,,https://media.signbsl.com/videos/asl/youtube/mp4/I7KYgr-OUXs.mp4
fistful, the quantity that can be held in the hand,https://www.youtube.com/watch?v=ecnNPCjvGYk
fistful, the quantity that can be held in the hand,https://www.youtube.com/watch?v=CmLgM5fCApc
flagellate-protozoan, usually nonphotosynthetic free-living protozoan with whiplike appendages; some pathogens of humans and other animals,https://www.youtube.com/watch?v=s2qOi098y0U
five-hours,,https://player.vimeo.com/external/392127508.sd.mp4
five-hours,,https://media.signbsl.com/videos/asl/youtube/mp4/NFSYKrmkobs.mp4
fixity, the quality of being incapable of mutation,https://www.youtube.com/watch?v=pmfgvva-Q2c
five-cents,,https://player.vimeo.com/external/392127479.sd.mp4
fissile, capable of being split or cleft or divided in the direction of the grain,https://www.youtube.com/watch?v=8SRKpEBsUfc
five-weeks-ago,,https://media.signbsl.com/videos/asl/youtube/mp4/mSjP9w0qzxQ.mp4
flag-football,,https://media.signbsl.com/videos/asl/youtube/mp4/XG-TFxFtUFU.mp4
five-days,,https://player.vimeo.com/external/392127492.sd.mp4
five-days,,https://media.signbsl.com/videos/asl/youtube/mp4/1ETSqB5SxQw.mp4
fixable, capable of being made ready for service,https://www.youtube.com/watch?v=rmTl5Nozt8A
five-points,,https://media.signbsl.com/videos/asl/youtube/mp4/IS6jMgmj1Uk.mp4
flack, artillery designed to shoot upward at airplanes,https://www.youtube.com/watch?v=-zMX-hi7xzw
flack, artillery designed to shoot upward at airplanes,https://player.vimeo.com/external/392700605.sd.mp4
flagship, the ship that carries the commander of a fleet and flies his flag,https://www.youtube.com/watch?v=9GunL9yB_jM
flagship, the ship that carries the commander of a fleet and flies his flag,https://www.youtube.com/watch?v=pN9Vj5pQdNo
fizzle, end weakly,https://www.youtube.com/watch?v=PJg1kfxsDbU
fizzle, end weakly,https://www.youtube.com/watch?v=RH_2zcpxKnc
flabbergasted, as if struck dumb with astonishment and surprise,https://player.vimeo.com/external/392517281.sd.mp4
fixed-point-part, the positive fractional part of the representation of a logarithm; in the expression log 643 = 2.808 the mantissa is .808,https://www.youtube.com/watch?v=cP5onJzkEgI
fixer, someone who intervenes with authorities for a person in trouble (usually using underhand or illegal methods for a fee),https://www.youtube.com/watch?v=BuBEveWwIUQ
fixer, synthetic narcotic drug similar to morphine but less habit-forming; used in narcotic detoxification and maintenance of heroin addiction,https://www.youtube.com/watch?v=UDnn7_vPZys
fixer, someone who intervenes with authorities for a person in trouble (usually using underhand or illegal methods for a fee),https://www.youtube.com/watch?v=xG2l-UbnYiE
flail, an implement consisting of handle with a free swinging stick at the end; used in manual threshing,https://www.youtube.com/watch?v=FzTzUnRefsM
flail, an implement consisting of handle with a free swinging stick at the end; used in manual threshing,https://www.youtube.com/watch?v=sGSPgvV8cMU
fitful, intermittently stopping and starting,https://www.youtube.com/watch?v=rEPZzJl7_A4
fix-at,,https://www.youtube.com/watch?v=iN5srqGJufE
fishwife, someone who sells fish,https://www.youtube.com/watch?v=0dNJrURzbAs
fishwife, someone who sells fish,https://www.youtube.com/watch?v=-d009n7WIs0
flagstaff, a tall staff or pole on which a flag is raised,https://www.youtube.com/watch?v=9nv8skK81Mk
fitch, dark brown mustelid of woodlands of Eurasia that gives off an unpleasant odor when threatened,https://www.youtube.com/watch?v=rgaH5ixZ3Oc
fix, the act of putting something in working order again,https://media.signbsl.com/videos/asl/aslsignbank/mp4/MECHANIC_2-1464.mp4
fix, prepare for eating by applying heat,https://media.signbsl.com/videos/asl/aslsignbank/mp4/MAKE-2954.mp4
fix, prepare for eating by applying heat,https://www.youtube.com/watch?v=a3u5qEdbZuU
fix, prepare for eating by applying heat,https://media.signbsl.com/videos/asl/youtube/mp4/HuS7gLYIcqk.mp4
fix, the act of putting something in working order again,https://media.signbsl.com/videos/asl/startasl/mp4/fixing.mp4
fix, prepare for eating by applying heat,https://media.signbsl.com/videos/asl/startasl/mp4/cook.mp4
fix, the act of putting something in working order again,https://media.signbsl.com/videos/asl/elementalaslconcepts/mp4/fix.mp4
fix, make infertile,https://www.youtube.com/watch?v=Axbc8ruWqG0
fix, the act of putting something in working order again,https://media.signbsl.com/videos/asl/aslsignbank/mp4/REPAIR-239.mp4
fix, prepare for eating by applying heat,https://media.signbsl.com/videos/asl/youtube/mp4/iAySYwNEWoY.mp4
fix, prepare for eating by applying heat,https://www.youtube.com/watch?v=2CbT3vBqqTE
fix, the act of putting something in working order again,https://media.signbsl.com/videos/asl/youtube/mp4/CDFgqznUCgg.mp4
fix, prepare for eating by applying heat,https://player.vimeo.com/external/392127615.sd.mp4
fix, prepare for eating by applying heat,https://media.signbsl.com/videos/asl/youtube/mp4/RGxUemQEoi0.mp4
fix, prepare for eating by applying heat,https://media.signbsl.com/videos/asl/signlanguagestudent/mp4/ready.mp4
fix, prepare for eating by applying heat,https://media.signbsl.com/videos/asl/youtube/mp4/OnJxNwHhkIs.mp4
fix, prepare for eating by applying heat,https://player.vimeo.com/external/392281794.sd.mp4
fix, prepare for eating by applying heat,https://media.signbsl.com/videos/asl/youtube/mp4/niihcD0oYjQ.mp4
fix, prepare for eating by applying heat,https://media.signbsl.com/videos/asl/youtube/mp4/hsIQkM540VA.mp4
fix, prepare for eating by applying heat,https://www.youtube.com/watch?v=sK9DAZw4_zs
fix, prepare for eating by applying heat,https://media.signbsl.com/videos/asl/aslsignbank/mp4/MAKE-502.mp4
fix, prepare for eating by applying heat,https://media.signbsl.com/videos/asl/youtube/mp4/75ou8ScND9w.mp4
fix, the act of putting something in working order again,https://media.signbsl.com/videos/asl/youtube/mp4/H7ps4cC2g7o.mp4
fix, restore by replacing a part or putting together what is torn or broken,https://www.youtube.com/watch?v=3oeeE6wD5SY
fix, prepare for eating by applying heat,https://media.signbsl.com/videos/asl/youtube/mp4/cluc2HL2fcI.mp4
fix, the act of putting something in working order again,https://media.signbsl.com/videos/asl/youtube/mp4/ZncTkYFClDE.mp4
fix, an exemption granted after influence (e.g. money) is brought to bear,https://www.youtube.com/watch?v=95X7HN8dZSE
fix, prepare for eating by applying heat,https://media.signbsl.com/videos/asl/aslbricks/mp4/fix.mp4
fix, prepare for eating by applying heat,https://media.signbsl.com/videos/asl/elementalaslconcepts/mp4/ready.mp4
fix, prepare for eating by applying heat,https://media.signbsl.com/videos/asl/youtube/mp4/Mia86oYwZKs.mp4
fix, prepare for eating by applying heat,https://www.youtube.com/watch?v=hRefmGDKtEA
flag, emblem usually consisting of a rectangular piece of cloth of distinctive design,https://media.signbsl.com/videos/asl/youtube/mp4/VBoiNS9hre0.mp4
flag, emblem usually consisting of a rectangular piece of cloth of distinctive design,https://media.signbsl.com/videos/asl/youtube/mp4/FGd21jTgBTs.mp4
flag, emblem usually consisting of a rectangular piece of cloth of distinctive design,https://media.signbsl.com/videos/asl/youtube/mp4/-uAyackx9N0.mp4
flag, emblem usually consisting of a rectangular piece of cloth of distinctive design,https://media.signbsl.com/videos/asl/elementalaslconcepts/mp4/flag.mp4
flag, droop sink or settle from or as if from pressure or loss of tautness,https://www.youtube.com/watch?v=BX67l1FfxVw
flag, emblem usually consisting of a rectangular piece of cloth of distinctive design,https://www.youtube.com/watch?v=XT2LuLFAa2c
flag, droop sink or settle from or as if from pressure or loss of tautness,https://www.youtube.com/watch?v=FATt3_DatHg
flag, emblem usually consisting of a rectangular piece of cloth of distinctive design,https://player.vimeo.com/external/392127655.sd.mp4
flag, emblem usually consisting of a rectangular piece of cloth of distinctive design,https://media.signbsl.com/videos/asl/youtube/mp4/vS6cZ9yH8S8.mp4
flagman,,https://www.youtube.com/watch?v=dPieF2Cxy4c
flaccid, lacking firmness or stiffness,https://www.youtube.com/watch?v=mAupbOpXCUQ
flaccid, lacking firmness or stiffness,https://www.youtube.com/watch?v=o3XpPqwQZis
fitness, fitness to traverse the seas,https://www.youtube.com/watch?v=BX_sPzxbkuQ
fishy, not as expected,https://www.youtube.com/watch?v=4blCjn524HY
fishy, not as expected,https://player.vimeo.com/external/392127427.sd.mp4
