interdict, command against,https://www.youtube.com/watch?v=IIThcDiyjJc
interdict, command against,https://www.youtube.com/watch?v=aDLRWb07Cgo
interdict, command against,https://player.vimeo.com/external/392869220.sd.mp4
interdict, command against,https://media.signbsl.com/videos/asl/elementalaslconcepts/mp4/veto.mp4
intercede, act between parties with a view to reconciling differences,https://www.youtube.com/watch?v=9EcCRy9PJYk
intercede, act between parties with a view to reconciling differences,https://www.youtube.com/watch?v=kRmzHnNIm4E
intercessor, a negotiator who acts as a link between parties,https://www.youtube.com/watch?v=IsKRzWo7FK0
intercessor, a negotiator who acts as a link between parties,https://www.youtube.com/watch?v=h4zmEg1FGYc
intercessor, a negotiator who acts as a link between parties,https://www.youtube.com/watch?v=IuAb5-SPc3g
intemperateness, immoderate indulgence of bodily appetites,https://www.youtube.com/watch?v=kJKM-_TJq1k
intergovernmental,,https://www.youtube.com/watch?v=s5tgC5G6v64
interest-finance,,https://media.signbsl.com/videos/asl/aslsignbank/mp4/ISLAND-607.mp4
interchangeable, of or relating to or suggestive of complementation,https://media.signbsl.com/videos/asl/tsdvideo/mp4/566.mp4
interchangeable, of or relating to or suggestive of complementation,https://media.signbsl.com/videos/asl/tsdvideo/mp4/1161.mp4
interchangeable, of or relating to or suggestive of complementation,https://www.youtube.com/watch?v=Dfizewokv1E
interchangeable, of or relating to or suggestive of complementation,https://www.youtube.com/watch?v=nqPt7MU4Pt8
pushpin, a tack for attaching papers to a bulletin board or drawing board,https://player.vimeo.com/external/392517052.sd.mp4
pushpin, a tack for attaching papers to a bulletin board or drawing board,https://www.youtube.com/watch?v=zEJlzVlwAtc
pyramid, enlarge one's holdings on an exchange on a continued rise by using paper profits as margin to buy additional amounts,https://media.signbsl.com/videos/asl/tsdvideo/mp4/861.mp4
pyramid, a polyhedron having a polygonal base and triangular sides with a common vertex,https://www.youtube.com/watch?v=5sqtdElbDjI
pyramid, a polyhedron having a polygonal base and triangular sides with a common vertex,https://media.signbsl.com/videos/asl/youtube/mp4/S8XR-icgwEw.mp4
pyramid, a polyhedron having a polygonal base and triangular sides with a common vertex,https://player.vimeo.com/external/392701179.sd.mp4
